"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2018",493,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2006",516,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2009",520,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2012",524,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2018",503,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2006",473,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2009",470,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2012",467,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2015",455,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2018",452,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2006",504,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2009",503,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2012",494,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2015",477,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2018",481,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2006",491,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2009",496,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2012",478,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2015",473,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2018",475,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2006",508,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2009",508,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2012",522,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2015",503,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2018",496,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2006",475,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2009",489,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2012",494,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2015",481,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2018",468,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2006",531,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2009",539,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2012",547,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2015",538,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2018",529,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2006",522,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2009",538,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2012",538,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2015",516,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2018",519,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2006",486,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2009",484,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2012",491,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2015",483,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2018",477,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2006",410,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2009",416,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2012",415,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2015",416,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2018",419,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2006",525,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2009",522,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2012",522,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2018",503,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2006",530,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2009",532,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2012",516,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2015",513,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2018",508,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2006",487,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2009",500,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2012",495,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2015",498,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2018",490,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2006",498,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2009",508,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2012",526,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2015",501,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2018",511,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2006",474,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2009",493,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2012",489,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2015",501,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2018",492,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2006",488,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2009",490,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2012",471,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2015",461,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2018",464,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2006",488,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2009",488,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2012",496,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2018",483,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2006",503,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2009",495,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2012",485,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2018",499,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2006",512,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2009",517,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2012",515,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2015",506,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2018",495,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2006",424,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2009",454,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2012",463,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2015",425,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2018",468,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2006",515,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2009",514,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2012",514,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2018",505,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2006",489,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2009",502,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2012",497,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2015",496,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2018",502,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2006",390,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2009",405,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2012",402,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2015",401,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2018",404,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2006",438,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2009",447,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2012",445,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2015",447,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2018",444,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2006",531,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2009",528,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2012",541,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2015",534,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2018",530,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2006",393,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2009",383,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2012",382,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2015",403,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2018",396,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2006",454,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2009",455,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2012",470,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2015",467,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2018",462,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2006",490,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2009",494,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2012",502,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2015",490,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2018",487,
"RUS","PISASCIENCE","TOT","MEANSCORE","A","2006",478,
"RUS","PISASCIENCE","TOT","MEANSCORE","A","2009",486,
"RUS","PISASCIENCE","TOT","MEANSCORE","A","2012",487,
"RUS","PISASCIENCE","TOT","MEANSCORE","A","2018",478,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2006",519,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2009",512,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2012",514,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2015",513,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2018",507,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2006",498,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2009",501,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2012",501,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2018",489,
"COL","PISASCIENCE","TOT","MEANSCORE","A","2015",416,
"COL","PISASCIENCE","TOT","MEANSCORE","A","2018",413,
"HKG","PISASCIENCE","TOT","MEANSCORE","A","2015",523,
"PER","PISASCIENCE","TOT","MEANSCORE","A","2015",397,
"SGP","PISASCIENCE","TOT","MEANSCORE","A","2015",556,
"TWN","PISASCIENCE","TOT","MEANSCORE","A","2015",532,
"MAC","PISASCIENCE","TOT","MEANSCORE","A","2015",529,
"CRI","PISASCIENCE","TOT","MEANSCORE","A","2018",416,
"LTU","PISASCIENCE","TOT","MEANSCORE","A","2018",482,
