"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","PISAREAD","TOT","MEANSCORE","A","2018",520,
"FRA","PISAREAD","TOT","MEANSCORE","A","2000",505,
"FRA","PISAREAD","TOT","MEANSCORE","A","2003",496,
"FRA","PISAREAD","TOT","MEANSCORE","A","2006",488,
"FRA","PISAREAD","TOT","MEANSCORE","A","2009",496,
"FRA","PISAREAD","TOT","MEANSCORE","A","2012",505,
"FRA","PISAREAD","TOT","MEANSCORE","A","2015",499,
"FRA","PISAREAD","TOT","MEANSCORE","A","2018",493,
"DEU","PISAREAD","TOT","MEANSCORE","A","2000",484,
"DEU","PISAREAD","TOT","MEANSCORE","A","2003",491,
"DEU","PISAREAD","TOT","MEANSCORE","A","2006",495,
"DEU","PISAREAD","TOT","MEANSCORE","A","2009",497,
"DEU","PISAREAD","TOT","MEANSCORE","A","2012",508,
"DEU","PISAREAD","TOT","MEANSCORE","A","2015",509,
"DEU","PISAREAD","TOT","MEANSCORE","A","2018",498,
"GRC","PISAREAD","TOT","MEANSCORE","A","2000",474,
"GRC","PISAREAD","TOT","MEANSCORE","A","2003",472,
"GRC","PISAREAD","TOT","MEANSCORE","A","2006",460,
"GRC","PISAREAD","TOT","MEANSCORE","A","2009",483,
"GRC","PISAREAD","TOT","MEANSCORE","A","2012",477,
"GRC","PISAREAD","TOT","MEANSCORE","A","2015",467,
"GRC","PISAREAD","TOT","MEANSCORE","A","2018",457,
"HUN","PISAREAD","TOT","MEANSCORE","A","2000",480,
"HUN","PISAREAD","TOT","MEANSCORE","A","2003",482,
"HUN","PISAREAD","TOT","MEANSCORE","A","2006",482,
"HUN","PISAREAD","TOT","MEANSCORE","A","2009",494,
"HUN","PISAREAD","TOT","MEANSCORE","A","2012",488,
"HUN","PISAREAD","TOT","MEANSCORE","A","2015",470,
"HUN","PISAREAD","TOT","MEANSCORE","A","2018",476,
"ISL","PISAREAD","TOT","MEANSCORE","A","2000",507,
"ISL","PISAREAD","TOT","MEANSCORE","A","2003",492,
"ISL","PISAREAD","TOT","MEANSCORE","A","2006",484,
"ISL","PISAREAD","TOT","MEANSCORE","A","2009",500,
"ISL","PISAREAD","TOT","MEANSCORE","A","2012",483,
"ISL","PISAREAD","TOT","MEANSCORE","A","2015",482,
"ISL","PISAREAD","TOT","MEANSCORE","A","2018",474,
"IRL","PISAREAD","TOT","MEANSCORE","A","2000",527,
"IRL","PISAREAD","TOT","MEANSCORE","A","2003",515,
"IRL","PISAREAD","TOT","MEANSCORE","A","2006",517,
"IRL","PISAREAD","TOT","MEANSCORE","A","2009",496,
"IRL","PISAREAD","TOT","MEANSCORE","A","2012",523,
"IRL","PISAREAD","TOT","MEANSCORE","A","2015",521,
"IRL","PISAREAD","TOT","MEANSCORE","A","2018",518,
"ITA","PISAREAD","TOT","MEANSCORE","A","2000",487,
"ITA","PISAREAD","TOT","MEANSCORE","A","2003",476,
"ITA","PISAREAD","TOT","MEANSCORE","A","2006",469,
"ITA","PISAREAD","TOT","MEANSCORE","A","2009",486,
"ITA","PISAREAD","TOT","MEANSCORE","A","2012",490,
"ITA","PISAREAD","TOT","MEANSCORE","A","2015",485,
"ITA","PISAREAD","TOT","MEANSCORE","A","2018",476,
"JPN","PISAREAD","TOT","MEANSCORE","A","2000",522,
"JPN","PISAREAD","TOT","MEANSCORE","A","2003",498,
"JPN","PISAREAD","TOT","MEANSCORE","A","2006",498,
"JPN","PISAREAD","TOT","MEANSCORE","A","2009",520,
"JPN","PISAREAD","TOT","MEANSCORE","A","2012",538,
"JPN","PISAREAD","TOT","MEANSCORE","A","2015",516,
"JPN","PISAREAD","TOT","MEANSCORE","A","2018",504,
"KOR","PISAREAD","TOT","MEANSCORE","A","2000",525,
"KOR","PISAREAD","TOT","MEANSCORE","A","2003",534,
"KOR","PISAREAD","TOT","MEANSCORE","A","2006",556,
"KOR","PISAREAD","TOT","MEANSCORE","A","2009",539,
"KOR","PISAREAD","TOT","MEANSCORE","A","2012",536,
"KOR","PISAREAD","TOT","MEANSCORE","A","2015",517,
"KOR","PISAREAD","TOT","MEANSCORE","A","2018",514,
"LUX","PISAREAD","TOT","MEANSCORE","A","2003",479,
"LUX","PISAREAD","TOT","MEANSCORE","A","2006",479,
"LUX","PISAREAD","TOT","MEANSCORE","A","2009",472,
"LUX","PISAREAD","TOT","MEANSCORE","A","2012",488,
"LUX","PISAREAD","TOT","MEANSCORE","A","2015",481,
"LUX","PISAREAD","TOT","MEANSCORE","A","2018",470,
"MEX","PISAREAD","TOT","MEANSCORE","A","2000",422,
"MEX","PISAREAD","TOT","MEANSCORE","A","2003",400,
"MEX","PISAREAD","TOT","MEANSCORE","A","2006",410,
"MEX","PISAREAD","TOT","MEANSCORE","A","2009",425,
"MEX","PISAREAD","TOT","MEANSCORE","A","2012",424,
"MEX","PISAREAD","TOT","MEANSCORE","A","2015",423,
"MEX","PISAREAD","TOT","MEANSCORE","A","2018",420,
"NLD","PISAREAD","TOT","MEANSCORE","A","2003",513,
"NLD","PISAREAD","TOT","MEANSCORE","A","2006",507,
"NLD","PISAREAD","TOT","MEANSCORE","A","2009",508,
"NLD","PISAREAD","TOT","MEANSCORE","A","2012",511,
"NLD","PISAREAD","TOT","MEANSCORE","A","2015",503,
"NLD","PISAREAD","TOT","MEANSCORE","A","2018",485,
"NZL","PISAREAD","TOT","MEANSCORE","A","2000",529,
"NZL","PISAREAD","TOT","MEANSCORE","A","2003",522,
"NZL","PISAREAD","TOT","MEANSCORE","A","2006",521,
"NZL","PISAREAD","TOT","MEANSCORE","A","2009",521,
"NZL","PISAREAD","TOT","MEANSCORE","A","2012",512,
"NZL","PISAREAD","TOT","MEANSCORE","A","2015",509,
"NZL","PISAREAD","TOT","MEANSCORE","A","2018",506,
"NOR","PISAREAD","TOT","MEANSCORE","A","2000",505,
"NOR","PISAREAD","TOT","MEANSCORE","A","2003",500,
"NOR","PISAREAD","TOT","MEANSCORE","A","2006",484,
"NOR","PISAREAD","TOT","MEANSCORE","A","2009",503,
"NOR","PISAREAD","TOT","MEANSCORE","A","2012",504,
"NOR","PISAREAD","TOT","MEANSCORE","A","2015",513,
"NOR","PISAREAD","TOT","MEANSCORE","A","2018",499,
"POL","PISAREAD","TOT","MEANSCORE","A","2000",479,
"POL","PISAREAD","TOT","MEANSCORE","A","2003",497,
"POL","PISAREAD","TOT","MEANSCORE","A","2006",508,
"POL","PISAREAD","TOT","MEANSCORE","A","2009",500,
"POL","PISAREAD","TOT","MEANSCORE","A","2012",518,
"POL","PISAREAD","TOT","MEANSCORE","A","2015",506,
"POL","PISAREAD","TOT","MEANSCORE","A","2018",512,
"PRT","PISAREAD","TOT","MEANSCORE","A","2000",470,
"PRT","PISAREAD","TOT","MEANSCORE","A","2003",478,
"PRT","PISAREAD","TOT","MEANSCORE","A","2006",472,
"PRT","PISAREAD","TOT","MEANSCORE","A","2009",489,
"PRT","PISAREAD","TOT","MEANSCORE","A","2012",488,
"PRT","PISAREAD","TOT","MEANSCORE","A","2015",498,
"PRT","PISAREAD","TOT","MEANSCORE","A","2018",492,
"SVK","PISAREAD","TOT","MEANSCORE","A","2003",469,
"SVK","PISAREAD","TOT","MEANSCORE","A","2006",466,
"SVK","PISAREAD","TOT","MEANSCORE","A","2009",477,
"SVK","PISAREAD","TOT","MEANSCORE","A","2012",463,
"SVK","PISAREAD","TOT","MEANSCORE","A","2015",453,
"SVK","PISAREAD","TOT","MEANSCORE","A","2018",458,
"ESP","PISAREAD","TOT","MEANSCORE","A","2000",493,
"ESP","PISAREAD","TOT","MEANSCORE","A","2003",481,
"ESP","PISAREAD","TOT","MEANSCORE","A","2006",461,
"ESP","PISAREAD","TOT","MEANSCORE","A","2009",481,
"ESP","PISAREAD","TOT","MEANSCORE","A","2012",488,
"ESP","PISAREAD","TOT","MEANSCORE","A","2015",496,
"SWE","PISAREAD","TOT","MEANSCORE","A","2000",516,
"SWE","PISAREAD","TOT","MEANSCORE","A","2003",514,
"SWE","PISAREAD","TOT","MEANSCORE","A","2006",507,
"SWE","PISAREAD","TOT","MEANSCORE","A","2009",497,
"SWE","PISAREAD","TOT","MEANSCORE","A","2012",483,
"SWE","PISAREAD","TOT","MEANSCORE","A","2015",500,
"SWE","PISAREAD","TOT","MEANSCORE","A","2018",506,
"CHE","PISAREAD","TOT","MEANSCORE","A","2000",494,
"CHE","PISAREAD","TOT","MEANSCORE","A","2003",499,
"CHE","PISAREAD","TOT","MEANSCORE","A","2006",499,
"CHE","PISAREAD","TOT","MEANSCORE","A","2009",501,
"CHE","PISAREAD","TOT","MEANSCORE","A","2012",509,
"CHE","PISAREAD","TOT","MEANSCORE","A","2015",492,
"CHE","PISAREAD","TOT","MEANSCORE","A","2018",484,
"TUR","PISAREAD","TOT","MEANSCORE","A","2003",441,
"TUR","PISAREAD","TOT","MEANSCORE","A","2006",447,
"TUR","PISAREAD","TOT","MEANSCORE","A","2009",464,
"TUR","PISAREAD","TOT","MEANSCORE","A","2012",475,
"TUR","PISAREAD","TOT","MEANSCORE","A","2015",428,
"TUR","PISAREAD","TOT","MEANSCORE","A","2018",466,
"GBR","PISAREAD","TOT","MEANSCORE","A","2006",495,
"GBR","PISAREAD","TOT","MEANSCORE","A","2009",494,
"GBR","PISAREAD","TOT","MEANSCORE","A","2012",499,
"GBR","PISAREAD","TOT","MEANSCORE","A","2015",498,
"GBR","PISAREAD","TOT","MEANSCORE","A","2018",504,
"USA","PISAREAD","TOT","MEANSCORE","A","2000",504,
"USA","PISAREAD","TOT","MEANSCORE","A","2003",495,
"USA","PISAREAD","TOT","MEANSCORE","A","2009",500,
"USA","PISAREAD","TOT","MEANSCORE","A","2012",498,
"USA","PISAREAD","TOT","MEANSCORE","A","2015",497,
"USA","PISAREAD","TOT","MEANSCORE","A","2018",505,
"BRA","PISAREAD","TOT","MEANSCORE","A","2000",396,
"BRA","PISAREAD","TOT","MEANSCORE","A","2003",403,
"BRA","PISAREAD","TOT","MEANSCORE","A","2006",393,
"BRA","PISAREAD","TOT","MEANSCORE","A","2009",412,
"BRA","PISAREAD","TOT","MEANSCORE","A","2012",407,
"BRA","PISAREAD","TOT","MEANSCORE","A","2015",407,
"BRA","PISAREAD","TOT","MEANSCORE","A","2018",413,
"CHL","PISAREAD","TOT","MEANSCORE","A","2000",410,
"CHL","PISAREAD","TOT","MEANSCORE","A","2006",442,
"CHL","PISAREAD","TOT","MEANSCORE","A","2009",449,
"CHL","PISAREAD","TOT","MEANSCORE","A","2012",441,
"CHL","PISAREAD","TOT","MEANSCORE","A","2015",459,
"CHL","PISAREAD","TOT","MEANSCORE","A","2018",452,
"EST","PISAREAD","TOT","MEANSCORE","A","2006",501,
"EST","PISAREAD","TOT","MEANSCORE","A","2009",501,
"EST","PISAREAD","TOT","MEANSCORE","A","2012",516,
"EST","PISAREAD","TOT","MEANSCORE","A","2015",519,
"EST","PISAREAD","TOT","MEANSCORE","A","2018",523,
"IDN","PISAREAD","TOT","MEANSCORE","A","2000",371,
"IDN","PISAREAD","TOT","MEANSCORE","A","2003",382,
"IDN","PISAREAD","TOT","MEANSCORE","A","2006",393,
"IDN","PISAREAD","TOT","MEANSCORE","A","2009",402,
"IDN","PISAREAD","TOT","MEANSCORE","A","2012",396,
"IDN","PISAREAD","TOT","MEANSCORE","A","2015",397,
"IDN","PISAREAD","TOT","MEANSCORE","A","2018",371,
"ISR","PISAREAD","TOT","MEANSCORE","A","2000",452,
"ISR","PISAREAD","TOT","MEANSCORE","A","2006",439,
"ISR","PISAREAD","TOT","MEANSCORE","A","2009",474,
"ISR","PISAREAD","TOT","MEANSCORE","A","2012",486,
"ISR","PISAREAD","TOT","MEANSCORE","A","2015",479,
"ISR","PISAREAD","TOT","MEANSCORE","A","2018",470,
"LVA","PISAREAD","TOT","MEANSCORE","A","2000",458,
"LVA","PISAREAD","TOT","MEANSCORE","A","2003",491,
"LVA","PISAREAD","TOT","MEANSCORE","A","2006",479,
"LVA","PISAREAD","TOT","MEANSCORE","A","2009",484,
"LVA","PISAREAD","TOT","MEANSCORE","A","2012",489,
"LVA","PISAREAD","TOT","MEANSCORE","A","2015",488,
"LVA","PISAREAD","TOT","MEANSCORE","A","2018",479,
"RUS","PISAREAD","TOT","MEANSCORE","A","2000",462,
"RUS","PISAREAD","TOT","MEANSCORE","A","2003",442,
"RUS","PISAREAD","TOT","MEANSCORE","A","2006",440,
"RUS","PISAREAD","TOT","MEANSCORE","A","2009",459,
"RUS","PISAREAD","TOT","MEANSCORE","A","2012",475,
"RUS","PISAREAD","TOT","MEANSCORE","A","2015",495,
"RUS","PISAREAD","TOT","MEANSCORE","A","2018",479,
"SVN","PISAREAD","TOT","MEANSCORE","A","2006",494,
"SVN","PISAREAD","TOT","MEANSCORE","A","2009",483,
"SVN","PISAREAD","TOT","MEANSCORE","A","2012",481,
"SVN","PISAREAD","TOT","MEANSCORE","A","2015",505,
"SVN","PISAREAD","TOT","MEANSCORE","A","2018",495,
"OAVG","PISAREAD","TOT","MEANSCORE","A","2012",496,
"OAVG","PISAREAD","TOT","MEANSCORE","A","2015",493,
"OAVG","PISAREAD","TOT","MEANSCORE","A","2018",487,
"COL","PISAREAD","TOT","MEANSCORE","A","2015",425,
"COL","PISAREAD","TOT","MEANSCORE","A","2018",412,
"HKG","PISAREAD","TOT","MEANSCORE","A","2015",527,
"PER","PISAREAD","TOT","MEANSCORE","A","2015",398,
"SGP","PISAREAD","TOT","MEANSCORE","A","2015",535,
"TWN","PISAREAD","TOT","MEANSCORE","A","2015",497,
"MAC","PISAREAD","TOT","MEANSCORE","A","2015",509,
"CRI","PISAREAD","TOT","MEANSCORE","A","2018",426,
"LTU","PISAREAD","TOT","MEANSCORE","A","2018",476,
