"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.798,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.509,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.511,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.026,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.091,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.167,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.001,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.84,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.787,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.838,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.751,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.78,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.602,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.472,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.5,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",2.595,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",2.647,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.64,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.62,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.532,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.546,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.479,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.946,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.003,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.284,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.548,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.613,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.736,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.602,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.482,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.469,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.727,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",,"M"
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.775,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.474,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.242,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.146,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.764,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.878,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.794,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.701,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.169,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.158,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.221,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.212,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.159,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.208,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.19,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.204,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.722,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.12,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.985,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.321,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.315,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.229,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.253,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.318,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.188,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.176,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",,"M"
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",,"M"
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",,"M"
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",,"M"
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",,"M"
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.946,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.785,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.763,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.784,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",4.921,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",4.894,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",4.61,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",4.989,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",4.866,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",4.732,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.6,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.685,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.499,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.612,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.641,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.387,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.377,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.36,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.153,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.105,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.066,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.039,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.929,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.709,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.569,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.267,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.823,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.733,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.558,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.543,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.775,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.59,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.392,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.581,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.41,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.14,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",2.514,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",2.638,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.404,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.342,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.419,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.476,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.554,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.876,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.65,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.785,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",2.998,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",2.944,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.881,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.747,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.679,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.639,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.656,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",4.015,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.994,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.822,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.983,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.775,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.686,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.708,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.703,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.68,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.646,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.307,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.469,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.083,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.278,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.196,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.202,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.393,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.412,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.353,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.232,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.799,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.254,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.986,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.271,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.344,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.659,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.634,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.931,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.082,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.783,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.369,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.455,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.597,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.662,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.607,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.458,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.311,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.231,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.205,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.207,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.4,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.197,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.958,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",4.129,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",4.201,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",4.183,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.168,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.152,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.022,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.061,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.906,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.488,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.802,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.014,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",2.656,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.621,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.93,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.636,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.451,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.63,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.862,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.398,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.747,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",4.022,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.754,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.241,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.146,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.093,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.656,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.749,
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.355,
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.515,
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.27,
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.492,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.974,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.534,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.66,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.531,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.667,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.747,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.897,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.872,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.857,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.033,
